JacobName,Project,Strain,Treatment,Group,Run,SRAName,ReadDir,JacobName2,SRAName2,JacobFile,SRAFile,TrimmedPath,FilteredPath,DerepPath
HPLOH_NoCrash_Aqua_Fed_A_NoCrash,NoCrash,Aqua,Fed,A,NoCrash,SRR15066688,1,HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1,SRR15066688_1,HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1.fastq.gz,SRR15066688_1.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Aqua_Fed_A_NoCrash,NoCrash,Aqua,Fed,A,NoCrash,SRR15066688,2,HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2,SRR15066688_2,HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2.fastq.gz,SRR15066688_2.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2_derep.fastq.gz
HPLOH_NoCrash_Wild_Starve_A_NoCrash,NoCrash,Wild,Starve,A,NoCrash,SRR15066691,1,HPLOH_NoCrash_Wild_Starve_A_NoCrash_R1,SRR15066691_1,HPLOH_NoCrash_Wild_Starve_A_NoCrash_R1.fastq.gz,SRR15066691_1.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Wild_Starve_A_NoCrash,NoCrash,Wild,Starve,A,NoCrash,SRR15066691,2,HPLOH_NoCrash_Wild_Starve_A_NoCrash_R2,SRR15066691_2,HPLOH_NoCrash_Wild_Starve_A_NoCrash_R2.fastq.gz,SRR15066691_2.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R2_derep.fastq.gz
HPLOH_NoCrash_Wild_Fed_C_NoCrash,NoCrash,Wild,Fed,C,NoCrash,SRR15066693,1,HPLOH_NoCrash_Wild_Fed_C_NoCrash_R1,SRR15066693_1,HPLOH_NoCrash_Wild_Fed_C_NoCrash_R1.fastq.gz,SRR15066693_1.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Wild_Fed_C_NoCrash,NoCrash,Wild,Fed,C,NoCrash,SRR15066693,2,HPLOH_NoCrash_Wild_Fed_C_NoCrash_R2,SRR15066693_2,HPLOH_NoCrash_Wild_Fed_C_NoCrash_R2.fastq.gz,SRR15066693_2.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R2_derep.fastq.gz
HPLOH_NoCrash_Wild_Fed_B_NoCrash,NoCrash,Wild,Fed,B,NoCrash,SRR15066694,1,HPLOH_NoCrash_Wild_Fed_B_NoCrash_R1,SRR15066694_1,HPLOH_NoCrash_Wild_Fed_B_NoCrash_R1.fastq.gz,SRR15066694_1.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Wild_Fed_B_NoCrash,NoCrash,Wild,Fed,B,NoCrash,SRR15066694,2,HPLOH_NoCrash_Wild_Fed_B_NoCrash_R2,SRR15066694_2,HPLOH_NoCrash_Wild_Fed_B_NoCrash_R2.fastq.gz,SRR15066694_2.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R2_derep.fastq.gz
HPLOH_Crash_NEH_Starve_B_Crash4,Crash,NEH,Starve,B,Crash4,SRR15066697,1,HPLOH_Crash_NEH_Starve_B_Crash4_R1,SRR15066697_1,HPLOH_Crash_NEH_Starve_B_Crash4_R1.fastq.gz,SRR15066697_1.fastq.gz,Trimmed/HPLOH_Crash_NEH_Starve_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Starve_B_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Starve_B_Crash4_R1_derep.fastq.gz
HPLOH_Crash_NEH_Starve_B_Crash4,Crash,NEH,Starve,B,Crash4,SRR15066697,2,HPLOH_Crash_NEH_Starve_B_Crash4_R2,SRR15066697_2,HPLOH_Crash_NEH_Starve_B_Crash4_R2.fastq.gz,SRR15066697_2.fastq.gz,Trimmed/HPLOH_Crash_NEH_Starve_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Starve_B_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Starve_B_Crash4_R2_derep.fastq.gz
