JacobName,Project,Strain,Treatment,Group,Run,SRAName,ReadDir,JacobName2,SRAName2,JacobFile,SRAFile,TrimmedPath,FilteredPath,DerepPath
HPLOH_Crash_NEH_Fed_C_Crash4,Crash,NEH,Fed,C,Crash4,SRR15066701,2,HPLOH_Crash_NEH_Fed_C_Crash4_R2,SRR15066701_2,HPLOH_Crash_NEH_Fed_C_Crash4_R2.fastq.gz,SRR15066701_2.fastq.gz,Trimmed/HPLOH_Crash_NEH_Fed_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Fed_C_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Fed_C_Crash4_R2_derep.fastq.gz
HPLOH_Crash_Wild_Fed_B_Crash4,Crash,Wild,Fed,B,Crash4,SRR15066703,1,HPLOH_Crash_Wild_Fed_B_Crash4_R1,SRR15066703_1,HPLOH_Crash_Wild_Fed_B_Crash4_R1.fastq.gz,SRR15066703_1.fastq.gz,Trimmed/HPLOH_Crash_Wild_Fed_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_B_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Fed_B_Crash4_R1_derep.fastq.gz
HPLOH_Crash_Wild_Fed_B_Crash4,Crash,Wild,Fed,B,Crash4,SRR15066703,2,HPLOH_Crash_Wild_Fed_B_Crash4_R2,SRR15066703_2,HPLOH_Crash_Wild_Fed_B_Crash4_R2.fastq.gz,SRR15066703_2.fastq.gz,Trimmed/HPLOH_Crash_Wild_Fed_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_B_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Fed_B_Crash4_R2_derep.fastq.gz
HPLOH_NoCrash_Aqua_Fed_C_NoCrash,NoCrash,Aqua,Fed,C,NoCrash,SRR15066686,1,HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R1,SRR15066686_1,HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R1.fastq.gz,SRR15066686_1.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Aqua_Fed_C_NoCrash,NoCrash,Aqua,Fed,C,NoCrash,SRR15066686,2,HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R2,SRR15066686_2,HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R2.fastq.gz,SRR15066686_2.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R2_derep.fastq.gz
HPLOH_NoCrash_Aqua_Fed_B_NoCrash,NoCrash,Aqua,Fed,B,NoCrash,SRR15066687,1,HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R1,SRR15066687_1,HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R1.fastq.gz,SRR15066687_1.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Aqua_Fed_B_NoCrash,NoCrash,Aqua,Fed,B,NoCrash,SRR15066687,2,HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R2,SRR15066687_2,HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R2.fastq.gz,SRR15066687_2.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R2_derep.fastq.gz
HPLOH_Crash_Wild_Starve_A_Crash4,Crash,Wild,Starve,A,Crash4,SRR15066674,1,HPLOH_Crash_Wild_Starve_A_Crash4_R1,SRR15066674_1,HPLOH_Crash_Wild_Starve_A_Crash4_R1.fastq.gz,SRR15066674_1.fastq.gz,Trimmed/HPLOH_Crash_Wild_Starve_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_A_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Starve_A_Crash4_R1_derep.fastq.gz
HPLOH_Crash_Wild_Starve_A_Crash4,Crash,Wild,Starve,A,Crash4,SRR15066674,2,HPLOH_Crash_Wild_Starve_A_Crash4_R2,SRR15066674_2,HPLOH_Crash_Wild_Starve_A_Crash4_R2.fastq.gz,SRR15066674_2.fastq.gz,Trimmed/HPLOH_Crash_Wild_Starve_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_A_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Starve_A_Crash4_R2_derep.fastq.gz
HPLOH_NoCrash_Wild_Fed_A_NoCrash,NoCrash,Wild,Fed,A,NoCrash,SRR15066695,1,HPLOH_NoCrash_Wild_Fed_A_NoCrash_R1,SRR15066695_1,HPLOH_NoCrash_Wild_Fed_A_NoCrash_R1.fastq.gz,SRR15066695_1.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_A_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_A_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Fed_A_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Wild_Fed_A_NoCrash,NoCrash,Wild,Fed,A,NoCrash,SRR15066695,2,HPLOH_NoCrash_Wild_Fed_A_NoCrash_R2,SRR15066695_2,HPLOH_NoCrash_Wild_Fed_A_NoCrash_R2.fastq.gz,SRR15066695_2.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_A_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_A_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Fed_A_NoCrash_R2_derep.fastq.gz
HPLOH_Crash_NEH_Pre_B_Crash4,Crash,NEH,Pre,B,Crash4,SRR15066699,1,HPLOH_Crash_NEH_Pre_B_Crash4_R1,SRR15066699_1,HPLOH_Crash_NEH_Pre_B_Crash4_R1.fastq.gz,SRR15066699_1.fastq.gz,Trimmed/HPLOH_Crash_NEH_Pre_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_B_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Pre_B_Crash4_R1_derep.fastq.gz
HPLOH_Crash_NEH_Pre_B_Crash4,Crash,NEH,Pre,B,Crash4,SRR15066699,2,HPLOH_Crash_NEH_Pre_B_Crash4_R2,SRR15066699_2,HPLOH_Crash_NEH_Pre_B_Crash4_R2.fastq.gz,SRR15066699_2.fastq.gz,Trimmed/HPLOH_Crash_NEH_Pre_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_B_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Pre_B_Crash4_R2_derep.fastq.gz
HPLOH_NoCrash_Wild_Fed_A_Crash4,NoCrash,Wild,Fed,A,Crash4,SRR15066704,1,HPLOH_NoCrash_Wild_Fed_A_Crash4_R1,SRR15066704_1,HPLOH_NoCrash_Wild_Fed_A_Crash4_R1.fastq.gz,SRR15066704_1.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_A_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Fed_A_Crash4_R1_derep.fastq.gz
HPLOH_NoCrash_Wild_Fed_A_Crash4,NoCrash,Wild,Fed,A,Crash4,SRR15066704,2,HPLOH_NoCrash_Wild_Fed_A_Crash4_R2,SRR15066704_2,HPLOH_NoCrash_Wild_Fed_A_Crash4_R2.fastq.gz,SRR15066704_2.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_A_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Fed_A_Crash4_R2_derep.fastq.gz
HPLOH_NoCrash_Wild_Starve_C_NoCrash,NoCrash,Wild,Starve,C,NoCrash,SRR15066689,1,HPLOH_NoCrash_Wild_Starve_C_NoCrash_R1,SRR15066689_1,HPLOH_NoCrash_Wild_Starve_C_NoCrash_R1.fastq.gz,SRR15066689_1.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_C_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_C_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Starve_C_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Wild_Starve_C_NoCrash,NoCrash,Wild,Starve,C,NoCrash,SRR15066689,2,HPLOH_NoCrash_Wild_Starve_C_NoCrash_R2,SRR15066689_2,HPLOH_NoCrash_Wild_Starve_C_NoCrash_R2.fastq.gz,SRR15066689_2.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_C_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_C_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Starve_C_NoCrash_R2_derep.fastq.gz
HPLOH_NoCrash_Wild_Starve_B_NoCrash,NoCrash,Wild,Starve,B,NoCrash,SRR15066690,1,HPLOH_NoCrash_Wild_Starve_B_NoCrash_R1,SRR15066690_1,HPLOH_NoCrash_Wild_Starve_B_NoCrash_R1.fastq.gz,SRR15066690_1.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_B_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_B_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Starve_B_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Wild_Starve_B_NoCrash,NoCrash,Wild,Starve,B,NoCrash,SRR15066690,2,HPLOH_NoCrash_Wild_Starve_B_NoCrash_R2,SRR15066690_2,HPLOH_NoCrash_Wild_Starve_B_NoCrash_R2.fastq.gz,SRR15066690_2.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_B_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_B_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Starve_B_NoCrash_R2_derep.fastq.gz
HPLOH_Crash_Wild_Starve_C_Crash4,Crash,Wild,Starve,C,Crash4,SRR15066672,1,HPLOH_Crash_Wild_Starve_C_Crash4_R1,SRR15066672_1,HPLOH_Crash_Wild_Starve_C_Crash4_R1.fastq.gz,SRR15066672_1.fastq.gz,Trimmed/HPLOH_Crash_Wild_Starve_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_C_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Starve_C_Crash4_R1_derep.fastq.gz
HPLOH_Crash_Wild_Starve_C_Crash4,Crash,Wild,Starve,C,Crash4,SRR15066672,2,HPLOH_Crash_Wild_Starve_C_Crash4_R2,SRR15066672_2,HPLOH_Crash_Wild_Starve_C_Crash4_R2.fastq.gz,SRR15066672_2.fastq.gz,Trimmed/HPLOH_Crash_Wild_Starve_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_C_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Starve_C_Crash4_R2_derep.fastq.gz
HPLOH_NoCrash_Wild_Starve_A_Crash4,NoCrash,Wild,Starve,A,Crash4,SRR15066702,1,HPLOH_NoCrash_Wild_Starve_A_Crash4_R1,SRR15066702_1,HPLOH_NoCrash_Wild_Starve_A_Crash4_R1.fastq.gz,SRR15066702_1.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_A_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Starve_A_Crash4_R1_derep.fastq.gz
HPLOH_NoCrash_Wild_Starve_A_Crash4,NoCrash,Wild,Starve,A,Crash4,SRR15066702,2,HPLOH_NoCrash_Wild_Starve_A_Crash4_R2,SRR15066702_2,HPLOH_NoCrash_Wild_Starve_A_Crash4_R2.fastq.gz,SRR15066702_2.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_A_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Wild_Starve_A_Crash4_R2_derep.fastq.gz
HPLOH_Crash_NEH_Starve_C_Crash4,Crash,NEH,Starve,C,Crash4,SRR15066696,1,HPLOH_Crash_NEH_Starve_C_Crash4_R1,SRR15066696_1,HPLOH_Crash_NEH_Starve_C_Crash4_R1.fastq.gz,SRR15066696_1.fastq.gz,Trimmed/HPLOH_Crash_NEH_Starve_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Starve_C_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Starve_C_Crash4_R1_derep.fastq.gz
HPLOH_Crash_NEH_Starve_C_Crash4,Crash,NEH,Starve,C,Crash4,SRR15066696,2,HPLOH_Crash_NEH_Starve_C_Crash4_R2,SRR15066696_2,HPLOH_Crash_NEH_Starve_C_Crash4_R2.fastq.gz,SRR15066696_2.fastq.gz,Trimmed/HPLOH_Crash_NEH_Starve_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Starve_C_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Starve_C_Crash4_R2_derep.fastq.gz
HPLOH_Mock_Even_NA__NoCrash,Mock,Even,"NA",,NoCrash,SRR15066680,1,HPLOH_Mock_Even_NA__NoCrash_R1,SRR15066680_1,HPLOH_Mock_Even_NA__NoCrash_R1.fastq.gz,SRR15066680_1.fastq.gz,Trimmed/HPLOH_Mock_Even_NA__NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_Mock_Even_NA__NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_Mock_Even_NA__NoCrash_R1_derep.fastq.gz
HPLOH_Mock_Even_NA__NoCrash,Mock,Even,"NA",,NoCrash,SRR15066680,2,HPLOH_Mock_Even_NA__NoCrash_R2,SRR15066680_2,HPLOH_Mock_Even_NA__NoCrash_R2.fastq.gz,SRR15066680_2.fastq.gz,Trimmed/HPLOH_Mock_Even_NA__NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_Mock_Even_NA__NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_Mock_Even_NA__NoCrash_R2_derep.fastq.gz
HPLOH_Crash_Wild_Fed_A_Crash4,Crash,Wild,Fed,A,Crash4,SRR15066705,1,HPLOH_Crash_Wild_Fed_A_Crash4_R1,SRR15066705_1,HPLOH_Crash_Wild_Fed_A_Crash4_R1.fastq.gz,SRR15066705_1.fastq.gz,Trimmed/HPLOH_Crash_Wild_Fed_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_A_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Fed_A_Crash4_R1_derep.fastq.gz
HPLOH_Crash_Wild_Fed_A_Crash4,Crash,Wild,Fed,A,Crash4,SRR15066705,2,HPLOH_Crash_Wild_Fed_A_Crash4_R2,SRR15066705_2,HPLOH_Crash_Wild_Fed_A_Crash4_R2.fastq.gz,SRR15066705_2.fastq.gz,Trimmed/HPLOH_Crash_Wild_Fed_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_A_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Fed_A_Crash4_R2_derep.fastq.gz
